"STATEFIPS","zipcode","agi_stub_weighted_median","total_beneficiaries","total_services","Place_Of_Srvc","Place_Of_Srvc_binary"
"26","49548",2,14989,28139,"O",0
"26","49601",2,57914,173681,"O",0
"26","49613",3,1036,1551,"O",0
"26","49614",2,915,1150,"O",0
"26","49615",3,2041,22255.2,"O",0
"26","49616",2,2291,3149,"O",0
"26","49617",3,717,14152.3,"F",1
"26","49620",2,614,2286.4,"O",0
"26","49621",3,175,2092.2,"F",1
"26","49622",2,31,31,"O",0
"26","49629",3,3588,5983,"O",0
"26","49630",4,146,180,"O",0
"26","49631",2,881,2874,"O",0
"26","49633",2,79,517.3,"O",0
"26","49635",3,2730,4457,"O",0
"26","49636",5,230,3584,"O",0
"26","49637",3,521,3044.5,"F",1
"26","49640",3,375,375,"O",0
"26","49643",3,660,2279.9,"O",0
"26","49646",2,1675,2586,"O",0
"26","49648",3,138,246,"O",0
"26","49649",3,755,4144.4,"O",0
"26","49650",3,76,676.6,"F",1
"26","49651",2,2699,14100.2,"O",0
"26","49653",3,169,1983,"O",0
"26","49654",5,66,1283.5,"F",1
"26","49657",3,411,1971,"O",0
"26","49659",2,1223,2361,"O",0
"26","49660",2,27058,48702.6,"F",1
"26","49663",2,578,1025,"O",0
"26","49665",2,836,2028,"O",0
"26","49668",2,1201,4229.6,"O",0
"26","49670",3,79,1436.9,"F",1
"26","49675",3,221,234,"F",1
"26","49676",3,185,1330,"O",0
"26","49677",2,7049,33291.7,"O",0
"26","49682",3,4252,12675.9,"O",0
"26","49683",2,29,681.5,"F",1
"26","49684",3,374471,609772.2,"F",1
"26","49686",3,73040,237324.3,"O",0
"26","49689",2,87,1166,"F",1
"26","49690",4,5222,10670,"O",0
"26","49707",2,77143,204918.1,"O",0
"26","49709",2,1182,69508.8,"O",0
"26","49712",3,2627,9207.8,"O",0
"26","49715",3,127,1265,"F",1
"26","49719",3,106,1514,"F",1
"26","49720",3,11123,32480.2,"O",0
"26","49721",2,9618,59843.9,"O",0
"26","49725",2,32,1392,"F",1
"26","49726",2,510,753,"O",0
"26","49727",2,3722,25691.8,"O",0
"26","49733",2,996,23300.1,"F",1
"26","49735",3,34767,84701.1,"O",0
"26","49738",2,14680,21902,"F",1
"26","49740",3,6966,13973,"O",0
"26","49746",2,1658,6698.8,"O",0
"26","49749",3,546,1484,"O",0
"26","49756",2,804,3738,"O",0
"26","49765",2,1766,9980.1,"F",1
"26","49766",3,280,509,"F",1
"26","49768",2,26,1015.4,"F",1
"26","49770",3,168967,284885.5,"F",1
"26","49774",3,71,862.5,"F",1
"26","49777",3,11,297,"F",1
"26","49779",2,1631,4488.2,"O",0
"26","49781",2,1188,2298,"F",1
"26","49783",2,26567,40869,"O",0
"26","49788",2,548,16456.8,"F",1
"26","49801",3,62716,118820.1,"O",0
"26","49802",2,5360,27728.9,"O",0
"26","49807",3,3315,5273,"O",0
"26","49817",3,15,412.4,"F",1
"26","49820",2,37,719.2,"F",1
"26","49821",2,77,300,"O",0
"26","49827",2,15,367.2,"F",1
"26","49829",2,37302,203091.8,"O",0
"26","49834",2,775,1443.9,"O",0
"26","49837",3,915,5843,"O",0
"26","49841",2,627,2883,"O",0
"26","49847",2,95,1868.3,"F",1
"26","49849",3,23431,37071,"F",1
"26","49854",2,1199,3403,"O",0
"26","49855",3,120673,230957.5,"O",0
"26","49858",2,3339,6627,"O",0
"26","49862",3,5933,18129.6,"O",0
"26","49866",3,2423,5539,"O",0
"26","49868",2,2380,13234.7,"O",0
"26","49870",2,1746,4262.9,"O",0
"26","49880",3,12,423,"F",1
"26","49886",2,279,318,"O",0
"26","49887",3,1231,2719.3,"O",0
"26","49892",3,40,377,"O",0
"26","49896",2,146,162,"F",1
"26","49908",2,412,8702.9,"F",1
"26","49912",2,225,2977.9,"F",1
"26","49913",2,7115,38243.1,"O",0
"26","49916",3,90,942,"O",0
"26","49920",2,967,3846,"O",0
"26","49925",2,177,233,"O",0
"26","49930",3,9166,25172.4,"F",1
"26","49931",3,2259,10057,"O",0
"26","49935",2,4595,10778,"O",0
"26","49938",2,5926,38182.3,"O",0
"26","49945",2,65,76,"O",0
"26","49946",2,445,1456,"F",1
"26","49953",2,166,383,"O",0
"26","49968",2,909,2360,"O",0
"26","49969",2,2151,3757,"O",0
"26","49970",2,255,409,"F",1
